Ligand,Binding Affinity,rmsd/ub, rmsd/lb
New_Target_LRRKS_5280343_uff_E=380.43_uff_E=379.95_uff_E=379.90,-6.9,0.0,0.0
New_Target_LRRKS_5280343_uff_E=380.43_uff_E=379.95_uff_E=379.90,-6.2,23.946,22.401
New_Target_LRRKS_5280343_uff_E=380.43_uff_E=379.95_uff_E=379.90,-5.8,6.877,1.685
New_Target_LRRKS_5280343_uff_E=380.43_uff_E=379.95_uff_E=379.90,-5.6,7.13,1.649
New_Target_LRRKS_5280343_uff_E=380.43_uff_E=379.95_uff_E=379.90,-5.6,24.592,22.818
New_Target_LRRKS_5280343_uff_E=380.43_uff_E=379.95_uff_E=379.90,-5.5,24.325,23.212
New_Target_LRRKS_5280343_uff_E=380.43_uff_E=379.95_uff_E=379.90,-5.5,5.896,3.302
New_Target_LRRKS_5280343_uff_E=380.43_uff_E=379.95_uff_E=379.90,-5.5,2.794,1.664
New_Target_LRRKS_5280343_uff_E=380.43_uff_E=379.95_uff_E=379.90,-5.5,24.324,22.359
New_Target_LRRKS_65064_uff_E=325.39_uff_E=325.32_uff_E=325.24,-7.4,0.0,0.0
New_Target_LRRKS_65064_uff_E=325.39_uff_E=325.32_uff_E=325.24,-7.3,2.046,0.055
New_Target_LRRKS_65064_uff_E=325.39_uff_E=325.32_uff_E=325.24,-6.7,24.415,22.402
New_Target_LRRKS_65064_uff_E=325.39_uff_E=325.32_uff_E=325.24,-6.2,3.379,1.948
New_Target_LRRKS_65064_uff_E=325.39_uff_E=325.32_uff_E=325.24,-6.2,7.257,1.782
New_Target_LRRKS_65064_uff_E=325.39_uff_E=325.32_uff_E=325.24,-6.2,24.81,22.278
New_Target_LRRKS_65064_uff_E=325.39_uff_E=325.32_uff_E=325.24,-6.1,25.038,22.358
New_Target_LRRKS_65064_uff_E=325.39_uff_E=325.32_uff_E=325.24,-6.0,24.393,21.489
New_Target_LRRKS_65064_uff_E=325.39_uff_E=325.32_uff_E=325.24,-5.9,24.372,21.406
New_Target_LRRKS_46843906_uff_E=1195.86_uff_E=1159.95_uff_E=1142.22,4.5,0.0,0.0
